ID,SMILES,DATA
298,COc1cc2cccnc2c(c1)/N=N/c3ccc(c4c3cccn4)O,6.338
299,COc1ccc2c(c1)c(ccn2)/C=C/c3ccnc4c3cc(cc4)OC,4.41
300,COc1ccc2c(c1)CCCN2c3c4ccccc4nc5c3cccc5,6.452
301,CCCCCCCCCCC(CN(CC)CC)C(c1ccccc1)O,5.74
302,CN(C)c1ccc(cc1)Cc2cc(c(cc2N)N(C)C)/N=N/c3cc(cc4c3nccc4)OC,6.9
303,c1ccc2c(c1)ccc(c2Cc3c4ccccc4ccc3O)O,4.715
304,c1ccc(cc1)CSCCC(=O)O,4
305,c1cc(ccc1N)S(=O)(=O)c2ccc(cc2)N,4
306,c1cc(cc2c1cc3ccc(cc3n2)N)N,6.221
307,Cc1ccc(c(c1)S(=O)(=O)O)/N=N/c2c3ccccc3cc(c2O)C(=O)O,4
308,c1ccc(cc1)C(=O)c2ccccc2C(=O)c3ccccc3,4.367
309,Cc1cc2cc3ccc(c(c3cc2c(c1)O)O)O,5.897
310,CC1(C2CCC(O1)(CC2)C)C,4.223
311,c1ccc2c(c1)ccc3c2ccc4c3cccc4,4.301
312,c1cc(c(cc1[N+](=O)[O-])[N+](=O)[O-])CC(=O)O,4
313,c1cc(ccc1CBr)CBr,5.683
314,c1ccc(cc1)CC(Cc2ccccc2)C(=O)O,4
315,Cc1ccc(cc1)N(Cc2ccccc2)Cc3ccccc3,4.553
316,c1ccc(cc1)C(=O)CC(=O)c2ccccc2,5.344
317,c1ccc(cc1)/N=N/c2ccc(c(c2O)/N=N/c3ccccc3)O,4.301
318,CC1=CCC(CC1=O)C(=C)C,4
319,c1ccc2c(c1)ccc3c2nc(s3)N,4.318
320,c1ccc2c(c1)c3ccccc3n2N=O,4.34
321,c1ccc2c(c1)-c3ccccc3C(C2=O)(Cl)Cl,5.783
322,CC(C)[C@H]1CC[C@H]2C(=C1)CC[C@@H]3[C@@]2(CCC[C@@]3(C)CN)C,5.47
323,CC(C)[C@H]1CC[C@H]2[C@H](C1)CC[C@@H]3[C@@]2(CCC[C@@]3(C)CN)C,5.466
324,CCN(CC)Cc1cc(cc(c1O)CC=C)c2cc(c(c(c2)CN(CC)CC)O)CC=C,4.544
325,C1CN1P(=S)(N2CC2)N3CC3,5.345
326,CCOC(=O)/C=C/c1ccc(o1)[N+](=O)[O-],6.286
327,c1c(cncc1C(=O)O)C(=O)O,4
328,CCCCC/C(=C\c1ccccc1)/C=O,4.095
329,CCCCCCCC/C=C\CCCCCCCCCCCC(=O)O,4.522
330,c1ccc(cc1)N(c2ccccc2)C(=O)Oc3ccccc3,4.432
331,c1cc(cc(c1)Oc2ccc(cc2[N+](=O)[O-])[N+](=O)[O-])[N+](=O)[O-],6.334
332,c1cc(ccc1NC(=O)c2ccc(c(c2)Cl)Cl)Br,5.318
